Date,VNFIN,VNMAT,VNIND,VNHEAL,VNENE,VNCONS,VNCOND,VNUTI,VNIT,VNREAL
2016-08-24,0.892367998,1.248452525,0.964011639,1.277676006,1.122705264,1.098415437,1.069282759,0.959986078,0.867472786,0.903718392
2016-08-25,0.892133591,1.258785072,0.966894472,1.268488975,1.136962794,1.101761595,1.058815459,0.951237677,0.878177722,0.905072118
2016-08-26,0.899303647,1.234399131,0.959820262,1.255754444,1.121767128,1.095829262,1.051591179,0.95008608,0.877424216,0.890378121
2016-08-29,0.894822583,1.207681002,0.938396286,1.218212267,1.087610585,1.128898751,1.018806809,0.946955649,0.868950197,0.884888862
2016-08-30,0.885263216,1.213492581,0.942200483,1.244042465,1.08637228,1.136144057,1.03496517,0.956085479,0.864777732,0.882840037
2016-08-31,0.878244356,1.228273276,0.948030787,1.266842595,1.07878397,1.153387768,1.042467768,0.952359056,0.886189437,0.881386819
2016-09-01,0.874385451,1.238706481,0.958098627,1.290859128,1.097715178,1.146415786,1.049582331,0.95385466,0.904242427,0.886160896
2016-09-05,0.860431869,1.245399161,0.963975622,1.30744113,1.113294773,1.15311113,1.066420902,0.958272545,0.909999246,0.890482325
2016-09-06,0.864723622,1.244027632,0.976427143,1.268459067,1.141677959,1.135773396,1.079560097,0.966937778,0.905181491,0.891941485
2016-09-07,0.867529585,1.271307104,0.980341157,1.311622823,1.142027546,1.119797917,1.079240197,0.964931649,0.907512661,0.892254421
2016-09-08,0.860540156,1.278394144,0.982058928,1.343372343,1.140856064,1.117344977,1.076808698,0.971849806,0.93084811,0.88921588
2016-09-09,0.8690619,1.268069248,0.979711462,1.35900009,1.136636276,1.095474433,1.064419431,0.964461357,0.932131718,0.901196602
2016-09-12,0.870498365,1.250636576,0.973202392,1.342412342,1.102704027,1.096262291,1.048350854,0.964866028,0.929065131,0.919137203
2016-09-13,0.861729258,1.26485486,0.97029047,1.338795277,1.095313183,1.113821066,1.060389304,0.967728762,0.933896226,0.908536996
2016-09-14,0.862618758,1.265960065,0.97162829,1.353983928,1.098272979,1.109968885,1.051337064,0.978770712,0.944779469,0.897264835
2016-09-15,0.866317213,1.271449911,0.968423344,1.377259279,1.086805482,1.100323114,1.041909233,0.968545201,0.931939452,0.922719344
2016-09-16,0.856673504,1.279329336,0.977092337,1.400377731,1.0962368,1.07606206,1.053614991,0.960771384,0.942807572,0.953309515
2016-09-19,0.867211876,1.287753267,0.965389336,1.40436846,1.111583971,1.06609006,1.03544667,0.958898859,0.937892384,0.942847544
2016-09-20,0.861902121,1.280431765,0.963218068,1.389948279,1.10074319,1.062529177,1.039299335,0.96597674,0.93558649,0.943304657
2016-09-21,0.85386249,1.273501115,0.956169233,1.357018964,1.112015337,1.064115682,1.033972625,0.972115919,0.92649002,0.955540972
2016-09-22,0.855164005,1.279484078,0.960409887,1.320057211,1.09995828,1.057970136,1.051148336,0.976764321,0.943876806,0.958860869
2016-09-23,0.848106313,1.268688131,0.959159713,1.315017224,1.083445827,1.069842229,1.052663589,0.970107806,0.95502083,0.959159713
2016-09-26,0.844765475,1.264932641,0.963177965,1.342018207,1.058224095,1.071340026,1.048283707,0.967653358,0.958732127,0.959647863
2016-09-27,0.845814615,1.260508968,0.95517527,1.317291823,1.065952181,1.055045364,1.044605688,0.963818979,0.948050038,0.967425441
2016-09-28,0.849079749,1.266178425,0.953853184,1.301928062,1.056748066,1.046088699,1.042506409,0.973089497,0.947940934,0.945305217
2016-09-29,0.839082141,1.25770097,0.957287081,1.289318166,1.108866489,1.043845763,1.044121706,0.994350417,0.93550217,0.948268099
2016-09-30,0.841511975,1.252417183,0.955580242,1.31817187,1.095022869,1.051667553,1.048532266,0.981260875,0.926866316,0.947005423
2016-10-03,0.8406998,1.231988906,0.965375931,1.359563771,1.098777587,1.057023659,1.049908529,0.989605475,0.930005123,0.927340589
2016-10-04,0.841157573,1.215930997,0.949999971,1.318254892,1.075694211,1.053493101,1.034419745,0.986612058,0.932621997,0.939359852
2016-10-05,0.844652447,1.207178656,0.946684311,1.299109231,1.079646064,1.049764207,1.030420384,0.990786621,0.928999809,0.936728617
2016-10-06,0.848047476,1.196633239,0.951158108,1.299671139,1.107882731,1.056058269,1.037056931,0.987909562,0.917985801,0.923412647
2016-10-07,0.847328053,1.180115503,0.953739294,1.301425509,1.137992556,1.057328693,1.026244623,0.997777586,0.902522145,0.926880606
2016-10-10,0.853320266,1.161675492,0.959417998,1.280692372,1.126151367,1.06281609,1.027573874,0.986784185,0.887806093,0.928729305
2016-10-11,0.839190469,1.190368752,0.956840934,1.268172215,1.134445148,1.054106396,1.015929993,0.994680213,0.893399392,0.91957323
2016-10-12,0.838039375,1.171836703,0.960407327,1.288841669,1.127349958,1.060458655,1.025979896,0.990621994,0.880313592,0.922162812
2016-10-13,0.834114117,1.172102788,0.963545115,1.291507969,1.117887472,1.060067468,1.050800463,0.988835923,0.881528841,0.932650407
2016-10-14,0.833027627,1.157874847,0.961688486,1.29225623,1.110538574,1.068631761,1.051834047,0.982489039,0.876492023,0.927394469
2016-10-17,0.834701522,1.159556456,0.962493517,1.30814306,1.101343724,1.064806534,1.049107863,0.982539085,0.875394627,0.934870359
2016-10-18,0.835151481,1.168308813,0.958227047,1.29233746,1.101096666,1.072974339,1.068458401,0.975836428,0.878977101,0.929019635
2016-10-19,0.834226062,1.172480379,0.949295258,1.281264073,1.094499817,1.071695074,1.055509573,0.969995152,0.876554996,0.93250011
2016-10-20,0.833462043,1.171054325,0.952927651,1.278835672,1.090196505,1.069989334,1.04925771,0.966054314,0.875173023,0.929762935
2016-10-21,0.832279476,1.167004931,0.95022118,1.208898538,1.082341528,1.067753981,1.046945898,0.969087147,0.875662533,0.928069727
2016-10-24,0.837335128,1.16151442,0.951240378,1.169744206,1.079702632,1.059614729,1.02760976,0.971505251,0.880254273,0.933954708
2016-10-25,0.834999554,1.150418559,0.95085631,1.193040362,1.080333655,1.060797407,1.021089074,0.974962303,0.881377708,0.929604586
2016-10-26,0.83153458,1.154778004,0.955434212,1.207939315,1.074093364,1.063939075,1.025519218,0.974940974,0.880821289,0.929232062
2016-10-27,0.826517881,1.14919484,0.950051723,1.214817515,1.064957865,1.067114786,1.028571383,0.981888005,0.880676588,0.930181698
2016-10-28,0.822601642,1.163766918,0.949607915,1.217618131,1.061282521,1.064111381,1.028640498,0.97423229,0.881817516,0.926141429
2016-10-31,0.824104762,1.175762107,0.959307487,1.216513779,1.02372008,1.065921857,1.020553433,0.96160105,0.888088175,0.929949733
2016-11-01,0.819051133,1.174357129,0.957759443,1.227741686,1.011912489,1.06084842,1.026263702,0.966804655,0.882692873,0.934244766
2016-11-02,0.814894227,1.163851574,0.954766177,1.215564456,1.004110739,1.063985655,1.030533213,0.968394356,0.875126575,0.932350255
2016-11-03,0.808831239,1.166454488,0.949343199,1.223387235,1.016581055,1.069903974,1.055674535,0.970282911,0.868250348,0.933391205
2016-11-04,0.812397877,1.17221366,0.945960177,1.242482031,0.999925022,1.068033614,1.053739926,0.979736909,0.872632126,0.935026156
2016-11-07,0.815127424,1.190197849,0.943898894,1.225071925,1.001008693,1.05294154,1.046399812,0.975791379,0.876405496,0.932966447
2016-11-08,0.811607492,1.19102381,0.940277298,1.210256299,1.015699376,1.05073472,1.051178191,0.974381309,0.874552764,0.930520654
2016-11-09,0.810342258,1.190164948,0.936666354,1.196296971,1.009354609,1.055202458,1.070092172,0.972309254,0.869886285,0.92841587
2016-11-10,0.809015492,1.196130784,0.939484228,1.216037298,1.0088621,1.049957991,1.070822996,0.969712638,0.871256481,0.926360645
2016-11-11,0.803283307,1.189634847,0.936690225,1.215562394,1.001398719,1.043536528,1.06438454,0.967152533,0.875368052,0.944729035
2016-11-14,0.801500658,1.208350111,0.945085862,1.209092998,0.997087943,1.032196687,1.062863087,0.969244469,0.877720836,0.937493484
2016-11-15,0.800966974,1.219648174,0.944413165,1.21620735,0.999317741,1.029543469,1.05337702,0.964257053,0.884629017,0.933660636
2016-11-16,0.799347771,1.221434931,0.943077422,1.219715438,1.019122473,1.038793419,1.048413921,0.968633293,0.880847892,0.934820662
2016-11-17,0.793275705,1.210341414,0.941696163,1.233052193,1.000385446,1.039417643,1.055768845,0.972990157,0.871458828,0.933157375
2016-11-18,0.790137423,1.207352365,0.942799837,1.228176755,0.992528734,1.030553301,1.05682883,0.971258849,0.882168556,0.933665102
2016-11-21,0.796764027,1.224354557,0.940218599,1.220721091,1.010366534,1.036171396,1.054516619,0.968693009,0.882009221,0.928754718
2016-11-22,0.794489073,1.209118573,0.927057834,1.203619314,1.027364375,1.037131016,1.062632946,0.962517061,0.87259324,0.919314921
2016-11-23,0.795465211,1.203393094,0.926269114,1.202807624,1.017375228,1.037809622,1.050149323,0.958165069,0.886981141,0.919286913
2016-11-24,0.799020921,1.214087723,0.931035978,1.25210126,1.034400927,1.03687813,1.057669042,0.961396694,0.900115027,0.922277241
2016-11-25,0.796884061,1.215825514,0.932146729,1.252504224,1.028807359,1.025182372,1.062378904,0.967345777,0.895763949,0.922189223
2016-11-28,0.796855546,1.213756443,0.941920123,1.259811564,1.016609374,1.00159329,1.071322298,0.965143019,0.900193942,0.93348765
2016-11-29,0.798605402,1.207926941,0.948591697,1.263421683,1.020098411,1.034819038,1.071430771,0.953301143,0.903518353,0.926624754
2016-11-30,0.787992245,1.224247083,0.947659646,1.248394917,1.013036191,1.047107838,1.073631301,0.946577008,0.898687343,0.922399162
2016-12-01,0.785069232,1.214180716,0.94505956,1.23638492,1.060686547,1.031911094,1.072958864,0.96753389,0.893449812,0.91908964
2016-12-02,0.786932033,1.222434401,0.943260081,1.256442264,1.054319406,1.028385016,1.072646374,0.960639881,0.89014343,0.919986726
2016-12-05,0.779085404,1.22944211,0.946547252,1.26308295,1.032625951,1.037427423,1.056618362,0.964617259,0.889944067,0.926114375
2016-12-06,0.779889189,1.205620995,0.944527145,1.255905743,1.03046868,1.044620808,1.060829806,0.968410842,0.895301599,0.92868661
2016-12-07,0.782136959,1.202010549,0.94044644,1.246415578,1.021406805,1.032056599,1.055682139,0.946781283,0.888023432,0.931831671
2016-12-08,0.786914329,1.192368981,0.935102962,1.255551014,1.013644144,1.038913961,1.047124694,0.937956261,0.885049115,0.924554904
2016-12-09,0.785060374,1.181896298,0.930520142,1.241407389,1.006620734,1.034536263,1.040176768,0.937035306,0.890660113,0.915031551
2016-12-12,0.782188877,1.179627101,0.918993483,1.216492357,1.022343474,1.026572639,1.024071562,0.931362696,0.881537034,0.910898849
2016-12-13,0.783551834,1.182125142,0.920844496,1.197614129,1.004338176,1.013518529,1.035010618,0.922982949,0.879678056,0.913665166
2016-12-14,0.781609875,1.189599164,0.913326489,1.209399477,0.987295893,1.002194981,1.039871245,0.914499219,0.870779071,0.910620307
2016-12-15,0.776504754,1.186328724,0.913788486,1.206571366,0.973825699,0.985478766,1.039554347,0.90272109,0.867461538,0.902615972
2016-12-16,0.774216472,1.179675937,0.909280759,1.186266982,0.977042478,0.995763996,1.02316491,0.894099172,0.859885102,0.897535409
2016-12-19,0.786706782,1.178606908,0.913929325,1.20260108,0.984013718,0.987320763,1.025343614,0.907953067,0.872317652,0.906499803
2016-12-20,0.793348012,1.19314589,0.926206558,1.214016262,0.999532204,0.977711103,1.053436214,0.922267902,0.884028048,0.904355261
2016-12-21,0.789681201,1.20142746,0.921252257,1.205385762,1.001709329,0.981107791,1.049779605,0.922976595,0.877530228,0.889420338
2016-12-22,0.788315869,1.21564402,0.918286504,1.19996988,0.994067605,0.974659325,1.046661129,0.916268857,0.881848938,0.901001283
2016-12-23,0.792886524,1.217559447,0.916507398,1.210003477,0.99086351,0.979544576,1.045863043,0.912669115,0.882580475,0.901425411
2016-12-26,0.792859796,1.230643789,0.922122395,1.218627848,0.986866918,0.973718726,1.054041799,0.906770309,0.88631595,0.903283253
2016-12-27,0.797879068,1.213960823,0.92072122,1.210209957,0.966378438,0.984484695,1.054650108,0.900566368,0.892688231,0.905913941
2016-12-28,0.804732479,1.223707596,0.920994755,1.213112313,0.95407691,0.987339834,1.052720392,0.898417453,0.901778478,0.898357197
2016-12-29,0.807106788,1.215910498,0.924645005,1.232082722,0.956086862,0.999849606,1.053676814,0.887907761,0.898393334,0.901266785
2016-12-30,0.806428294,1.209770376,0.930272098,1.236572518,0.966895769,0.985711492,1.04518172,0.899649586,0.909245462,0.905169447
